resort,timestamp,season,month,snowfall_inch,snow_depth_inch,temperature_f
Snowbasin,2025-12-01 00:00:00,2025-2026,December 2025,0.0,0.394,8.7
Snowbasin,2025-12-01 01:00:00,2025-2026,December 2025,0.0,0.394,6.6
Snowbasin,2025-12-01 02:00:00,2025-2026,December 2025,0.0,0.394,4.8
Snowbasin,2025-12-01 03:00:00,2025-2026,December 2025,0.0,0.394,4.5
Snowbasin,2025-12-01 04:00:00,2025-2026,December 2025,0.0,0.394,4.4
Snowbasin,2025-12-01 05:00:00,2025-2026,December 2025,0.0,0.394,3.3
Snowbasin,2025-12-01 06:00:00,2025-2026,December 2025,0.0,0.394,2.8
Snowbasin,2025-12-01 07:00:00,2025-2026,December 2025,0.0,0.394,2.4
Snowbasin,2025-12-01 08:00:00,2025-2026,December 2025,0.0,0.394,3.0
Snowbasin,2025-12-01 09:00:00,2025-2026,December 2025,0.0,0.394,9.1
Snowbasin,2025-12-01 10:00:00,2025-2026,December 2025,0.0,0.394,15.6
Snowbasin,2025-12-01 11:00:00,2025-2026,December 2025,0.0,0.394,19.6
Snowbasin,2025-12-01 12:00:00,2025-2026,December 2025,0.0,0.394,21.8
Snowbasin,2025-12-01 13:00:00,2025-2026,December 2025,0.0,0.361,22.6
Snowbasin,2025-12-01 14:00:00,2025-2026,December 2025,0.0,0.361,22.2
Snowbasin,2025-12-01 15:00:00,2025-2026,December 2025,0.0,0.361,21.7
Snowbasin,2025-12-01 16:00:00,2025-2026,December 2025,0.0,0.361,21.1
Snowbasin,2025-12-01 17:00:00,2025-2026,December 2025,0.0,0.361,20.6
Snowbasin,2025-12-01 18:00:00,2025-2026,December 2025,0.0,0.361,19.9
Snowbasin,2025-12-01 19:00:00,2025-2026,December 2025,0.0,0.361,18.6
Snowbasin,2025-12-01 20:00:00,2025-2026,December 2025,0.055,0.361,18.2
Snowbasin,2025-12-01 21:00:00,2025-2026,December 2025,0.0,0.361,17.2
Snowbasin,2025-12-01 22:00:00,2025-2026,December 2025,0.0,0.361,16.0
Snowbasin,2025-12-01 23:00:00,2025-2026,December 2025,0.0,0.394,16.0
Snowbasin,2025-12-02 00:00:00,2025-2026,December 2025,0.0,0.394,16.0
Snowbasin,2025-12-02 01:00:00,2025-2026,December 2025,0.0,0.394,17.6
Snowbasin,2025-12-02 02:00:00,2025-2026,December 2025,0.0,0.394,18.6
Snowbasin,2025-12-02 03:00:00,2025-2026,December 2025,0.028,0.361,19.2
Snowbasin,2025-12-02 04:00:00,2025-2026,December 2025,0.0,0.361,19.8
Snowbasin,2025-12-02 05:00:00,2025-2026,December 2025,0.0,0.427,19.5
Snowbasin,2025-12-02 06:00:00,2025-2026,December 2025,0.0,0.427,18.3
Snowbasin,2025-12-02 07:00:00,2025-2026,December 2025,0.0,0.427,17.7
Snowbasin,2025-12-02 08:00:00,2025-2026,December 2025,0.0,0.427,18.2
Snowbasin,2025-12-02 09:00:00,2025-2026,December 2025,0.0,0.394,21.0
Snowbasin,2025-12-02 10:00:00,2025-2026,December 2025,0.0,0.394,23.7
Snowbasin,2025-12-02 11:00:00,2025-2026,December 2025,0.0,0.394,25.7
Snowbasin,2025-12-02 12:00:00,2025-2026,December 2025,0.028,0.394,26.8
Snowbasin,2025-12-02 13:00:00,2025-2026,December 2025,0.0,0.394,27.6
Snowbasin,2025-12-02 14:00:00,2025-2026,December 2025,0.028,0.394,27.5
Snowbasin,2025-12-02 15:00:00,2025-2026,December 2025,0.055,0.394,25.9
Snowbasin,2025-12-02 16:00:00,2025-2026,December 2025,0.028,0.394,24.9
Snowbasin,2025-12-02 17:00:00,2025-2026,December 2025,0.055,0.361,23.1
Snowbasin,2025-12-02 18:00:00,2025-2026,December 2025,0.0,0.361,23.3
Snowbasin,2025-12-02 19:00:00,2025-2026,December 2025,0.0,0.328,22.8
Snowbasin,2025-12-02 20:00:00,2025-2026,December 2025,0.0,0.361,22.3
Snowbasin,2025-12-02 21:00:00,2025-2026,December 2025,0.0,0.361,19.6
Snowbasin,2025-12-02 22:00:00,2025-2026,December 2025,0.0,0.361,19.7
Snowbasin,2025-12-02 23:00:00,2025-2026,December 2025,0.0,0.361,19.1
Snowbasin,2025-12-03 00:00:00,2025-2026,December 2025,0.0,0.361,16.7
Snowbasin,2025-12-03 01:00:00,2025-2026,December 2025,0.0,0.361,15.9
Snowbasin,2025-12-03 02:00:00,2025-2026,December 2025,0.0,0.361,13.8
Snowbasin,2025-12-03 03:00:00,2025-2026,December 2025,0.0,0.361,12.3
